"left","right"
"#bixesual","#LoveIsLove"
"#LGBTQ<ed><U+00A0><U+00BC><ed><U+00BC><U+0088>","#LoveIsLove"
"#single","#Netflix"
"#single","#alone"
"#Netflix","#alone"
"#MyLove","#Callie"
"#Capmirez","#Calzona"
"#AprilTheMovie","#TeamApril"
"#Scandal","#TGIT"
"#HTGAWM","#TGIT"
"#spoby","#emison"
"#spoby","#merder"
"#spoby","#ezria"
"#spoby","#haleb"
"#spoby","#prettylittleliars"
"#spoby","#jolex"
"#spoby","#japril"
"#spoby","#crowen"
"#spoby","#izzex"
"#emison","#merder"
"#emison","#ezria"
"#emison","#haleb"
"#emison","#prettylittleliars"
"#emison","#jolex"
"#emison","#japril"
"#emison","#crowen"
"#emison","#izzex"
"#merder","#ezria"
"#merder","#haleb"
"#merder","#prettylittleliars"
"#merder","#jolex"
"#merder","#japril"
"#merder","#crowen"
"#merder","#izzex"
"#ezria","#haleb"
"#ezria","#prettylittleliars"
"#ezria","#jolex"
"#ezria","#japril"
"#ezria","#crowen"
"#ezria","#izzex"
"#haleb","#prettylittleliars"
"#haleb","#jolex"
"#haleb","#japril"
"#haleb","#crowen"
"#haleb","#izzex"
"#prettylittleliars","#jolex"
"#prettylittleliars","#japril"
"#prettylittleliars","#crowen"
"#prettylittleliars","#izzex"
"#jolex","#japril"
"#jolex","#crowen"
"#jolex","#izzex"
"#japril","#crowen"
"#japril","#izzex"
"#crowen","#izzex"
"#izzie","#isobelsteven"
"#Darvey","#Suits"
"#season6","#NoSpoilers"
"#season6","#myperson"
"#NoSpoilers","#myperson"
"#Friendship","#LongDistance"
"#Friendship","#MyPerson"
"#Friendship","#ThankYou"
"#Friendship","#Friends…"
"#LongDistance","#MyPerson"
"#LongDistance","#ThankYou"
"#LongDistance","#Friends…"
"#MyPerson","#ThankYou"
"#MyPerson","#Friends…"
"#ThankYou","#Friends…"
"#WhiteHorse","#Crowen"
